istart,jstart,igoal,jgoal,euclid
3,55,31,24,41.773197148410844
39,51,16,53,23.08679276123039
40,59,28,25,36.05551275463989
50,2,43,31,29.832867780352597
29,63,55,33,39.698866482558415
36,11,52,51,43.08131845707603
59,11,61,36,25.079872407968907
23,6,27,51,45.17742799230607
14,31,49,14,38.91015291668744
43,4,15,4,28.0
10,39,39,47,30.083217912982647
62,20,26,39,40.70626487409524
62,35,28,54,38.948684188300895
14,9,22,56,47.67598976424087
23,28,50,31,27.16615541441225
49,15,51,48,33.06055050963308
10,24,44,41,38.01315561749642
23,28,63,40,41.7612260356422
60,49,3,10,69.06518659932803
54,49,30,18,39.20459156782532
56,53,62,18,35.510561809129406
56,7,8,8,48.010415536631214
46,18,3,32,45.221676218380054
46,13,41,39,26.476404589747453
20,1,49,27,38.948684188300895
50,15,11,47,50.44799302251776
2,12,37,19,35.6931365951495
51,12,13,19,38.63935817272331
38,14,7,56,52.20153254455275
3,33,57,59,59.93329625508679
19,55,56,62,37.656340767525464
46,40,50,6,34.23448553724738
41,54,18,50,23.345235059857504
49,56,2,46,48.05205510693585
19,50,29,24,27.85677655436824
30,59,59,59,29.0
19,63,27,30,33.95585369269929
44,51,58,32,23.600847442411894
3,42,61,22,61.35144660071187
5,61,59,36,59.50630218724736
58,19,48,56,38.3275357934736
8,35,28,17,26.90724809414742
59,0,9,48,69.31089380465383
48,26,42,63,37.48332962798263
14,37,41,12,36.796738985948195
53,44,7,2,62.289646009589745
52,13,59,58,45.5411901469428
40,13,23,47,38.01315561749642
0,24,18,11,22.20360331117452
61,37,42,54,25.495097567963924
