istart,jstart,igoal,jgoal,euclid
7,54,44,54,37.0
11,15,17,56,41.43669871020132
5,27,25,8,27.586228448267445
56,25,29,62,45.803929962395145
27,28,59,30,32.0624390837628
29,33,6,48,27.459060435491963
27,51,49,61,24.166091947189145
28,3,47,62,61.98386886924694
57,9,45,27,21.633307652783937
24,33,63,28,39.319206502675
14,17,44,0,34.48187929913333
46,49,39,28,22.135943621178654
41,61,37,20,41.19465984809196
47,16,0,21,47.265209192385896
1,60,37,20,53.81449618829484
62,35,6,39,56.142675390472796
17,35,42,22,28.178005607210743
24,50,9,36,20.518284528683193
63,51,55,15,36.87817782917155
34,60,53,19,45.18849411078001
35,9,6,34,38.28837943815329
47,44,61,16,31.304951684997057
44,29,18,53,35.38361202590826
60,9,27,16,33.734255586866
53,49,14,36,41.10960958218893
5,50,15,12,39.293765408777
61,20,55,43,23.769728648009426
42,49,45,23,26.1725046566048
25,52,47,16,42.190046219457976
59,48,23,31,39.81205847478876
57,40,0,42,57.0350769263968
54,16,63,37,22.847319317591726
37,59,0,11,60.60528029800704
1,8,58,36,63.50590523722971
47,50,28,17,38.07886552931954
32,40,11,5,40.8166632639171
45,4,2,52,64.4437739428721
8,38,20,2,37.94733192202055
63,45,46,2,46.238512086787566
21,49,44,54,23.53720459187964
54,0,27,21,34.20526275297414
9,3,38,27,37.64306044943742
39,57,17,57,22.0
33,63,46,16,48.76474136094644
39,10,57,54,47.53945729601885
36,2,57,28,33.421549934136806
38,56,44,13,43.41658669218482
59,49,52,24,25.96150997149434
24,7,55,25,35.84689665786984
39,60,56,6,56.61271941887264
