istart,jstart,igoal,jgoal,euclid
46,14,27,29,24.20743687382041
44,46,19,57,27.313000567495326
20,51,60,25,47.70744176750625
43,33,22,37,21.37755832643195
34,17,21,41,27.294688127912362
54,0,8,10,47.07440918375928
54,7,29,33,36.069377593742864
57,32,37,37,20.615528128088304
62,30,12,60,58.309518948453004
18,43,42,21,32.55764119219941
14,48,42,43,28.442925306655784
53,0,37,54,56.32051136131489
39,52,7,26,41.23105625617661
19,26,6,10,20.615528128088304
6,33,53,25,47.67598976424087
13,14,59,21,46.52956049652737
54,54,0,34,57.584720195551874
54,37,11,53,45.880278987817846
47,5,20,20,30.886890422961002
23,43,63,33,41.23105625617661
58,59,4,51,54.589376255824725
5,4,33,58,60.8276253029822
1,55,27,42,29.068883707497267
1,18,63,22,62.12889826803627
58,59,15,50,43.93176527297759
59,11,42,61,52.81098370604357
57,1,16,41,57.28001396647874
59,6,18,15,41.97618372363071
37,21,21,59,41.23105625617661
9,13,27,53,43.86342439892262
40,14,37,39,25.179356624028344
21,5,59,55,62.80127387243033
27,30,6,37,22.135943621178654
30,60,60,13,55.758407437802596
50,63,58,24,39.81205847478876
53,48,47,11,37.48332962798263
46,30,30,59,33.12099032335839
6,45,53,14,56.302753041036986
12,59,56,1,72.80109889280519
13,27,48,26,35.014282800023196
20,19,52,47,42.5205832509386
1,34,62,19,62.81719509815764
58,29,16,45,44.94441010848846
46,41,11,11,46.09772228646444
30,37,57,40,27.16615541441225
6,22,19,44,25.553864678361276
17,63,48,62,31.016124838541646
0,14,61,34,64.19501538281614
2,24,60,4,61.35144660071187
20,17,57,51,50.24937810560445
