istart,jstart,igoal,jgoal,euclid
57,55,42,3,54.120236510939236
43,6,43,54,48.0
10,12,57,35,52.32590180780452
42,35,47,4,31.400636936215164
17,48,40,38,25.079872407968907
33,31,6,58,38.18376618407357
7,7,4,29,22.20360331117452
43,52,3,43,41.0
10,53,53,33,47.4236228055175
58,52,36,41,24.596747752497688
17,3,50,31,43.278170016764804
35,16,23,63,48.507731342539614
17,26,50,12,35.84689665786984
56,41,0,53,57.271284253105414
1,44,0,1,43.01162633521314
5,59,27,63,22.360679774997898
0,62,19,46,24.839484696748443
4,8,23,33,31.400636936215164
36,17,6,9,31.04834939252005
61,57,34,38,33.015148038438355
12,25,6,3,22.80350850198276
53,33,3,22,51.19570294468082
19,10,11,40,31.04834939252005
50,2,32,18,24.08318915758459
15,4,0,25,25.80697580112788
12,47,44,36,33.83784863137726
58,34,26,60,41.23105625617661
28,57,62,33,41.617304093369626
51,6,13,37,49.040799340956916
5,52,62,14,68.5054742338158
31,24,55,9,28.30194339616981
60,40,25,41,35.014282800023196
31,9,54,40,38.600518131237564
41,37,48,63,26.92582403567252
17,55,46,61,29.614185789921695
6,35,41,37,35.05709628591621
58,14,21,43,47.01063709417264
42,30,55,3,29.966648127543394
47,12,41,43,31.575306807693888
47,19,20,47,38.897300677553446
47,8,47,53,45.0
16,31,55,1,49.20365840057018
63,22,2,39,63.324560795950255
59,58,4,56,55.036351623268054
1,37,44,54,46.238512086787566
59,2,10,10,49.64876634922564
46,39,22,11,36.87817782917155
46,1,20,4,26.1725046566048
63,43,48,21,26.627053911388696
6,7,47,59,66.21933252457322
