istart,jstart,igoal,jgoal,euclid
4,52,30,3,55.47071299343465
42,0,52,62,62.80127387243033
25,12,24,38,26.019223662515376
50,46,40,27,21.470910553583888
45,19,62,44,30.23243291566195
30,53,47,14,42.5440947723653
14,55,49,13,54.67174773134658
3,57,22,43,23.600847442411894
45,5,36,54,49.8196748283246
25,8,6,47,43.382023926967726
4,49,12,24,26.248809496813376
62,7,25,63,67.11929677819934
59,11,27,53,52.80151512977634
52,0,50,57,57.0350769263968
59,60,7,50,52.952809179494906
60,44,9,19,56.79788728465171
0,38,9,5,34.20526275297414
27,44,50,57,26.419689627245813
63,39,53,14,26.92582403567252
39,27,54,2,29.154759474226502
41,23,1,45,45.65084884205331
38,34,32,55,21.840329667841555
11,24,28,45,27.018512172212592
15,55,39,21,41.617304093369626
9,8,25,37,33.12099032335839
63,9,32,43,46.010868281309364
54,55,42,1,55.31726674375732
12,20,15,59,39.11521443121589
53,43,42,20,25.495097567963924
45,37,62,57,26.248809496813376
17,55,60,48,43.56604182158393
37,12,2,50,51.66236541235796
7,9,42,42,48.104053883222775
54,10,10,40,53.25410782277739
59,20,28,5,34.438350715445125
61,10,19,49,57.3149195236284
18,56,56,49,38.63935817272331
37,24,50,5,23.021728866442675
49,61,26,0,65.19202405202648
47,23,3,6,47.16990566028302
3,46,49,42,46.17358552246078
13,39,5,9,31.04834939252005
10,15,26,59,46.8187996428785
12,36,3,59,24.698178070456937
56,50,52,19,31.25699921617557
23,49,63,48,40.01249804748511
31,48,18,3,46.84015371452148
5,37,9,59,22.360679774997898
9,7,61,9,52.03844732503075
58,23,50,44,22.47220505424423
