istart,jstart,igoal,jgoal,euclid
54,60,32,53,23.08679276123039
53,60,33,43,26.248809496813376
24,53,6,13,43.86342439892262
43,0,39,52,52.15361924162119
22,63,13,4,59.682493245507096
52,54,1,62,51.62363799656123
18,24,37,5,26.870057685088806
56,54,11,37,48.104053883222775
44,60,43,38,22.02271554554524
35,23,3,55,45.254833995939045
47,58,52,6,52.23983154643591
32,53,7,25,37.53664875824692
32,1,29,22,21.213203435596427
41,58,5,1,67.4166151627327
12,40,34,53,25.553864678361276
45,57,36,11,46.87216658103186
31,18,26,59,41.30375285612676
52,46,7,37,45.89117562233506
19,53,5,0,54.817880294662984
45,49,14,5,53.823786563191554
42,5,32,58,53.9351462406472
42,10,18,38,36.87817782917155
60,38,23,11,45.803929962395145
23,47,54,56,32.28002478313795
11,40,48,47,37.656340767525464
12,4,31,26,29.068883707497267
44,24,29,63,41.78516483155236
1,47,18,6,44.384682042344295
41,38,13,63,37.53664875824692
7,56,33,59,26.1725046566048
5,21,14,54,34.20526275297414
63,46,29,5,53.2634959423431
19,44,51,54,33.52610922848042
24,19,55,38,36.359317925395686
0,27,63,5,66.73080248281148
19,3,40,17,25.238858928247925
37,22,11,6,30.528675044947494
59,26,12,43,49.9799959983992
42,8,51,55,47.853944456021594
31,8,41,31,25.079872407968907
40,61,16,58,24.186773244895647
27,0,35,47,47.67598976424087
8,14,57,10,49.16299421312742
15,12,49,23,35.73513677041127
48,45,11,53,37.8549864614954
17,12,39,31,29.068883707497267
25,42,35,7,36.40054944640259
41,20,1,53,51.85556864985669
21,62,63,25,55.97320787662612
41,47,31,16,32.57299494980466
