istart,jstart,igoal,jgoal,euclid
37,32,25,61,31.38470965295043
36,45,61,3,48.877397639399746
30,9,19,56,48.27007354458868
46,46,47,10,36.013886210738214
44,46,7,4,55.97320787662612
62,11,24,12,38.01315561749642
19,53,20,14,39.01281840626232
31,59,16,45,20.518284528683193
33,45,15,4,44.77722635447622
7,24,27,59,40.311288741492746
53,55,1,1,74.96665925596525
51,38,25,41,26.1725046566048
27,20,5,42,31.11269837220809
23,24,42,41,25.495097567963924
44,1,4,43,58.0
29,10,54,0,26.92582403567252
49,62,25,9,58.180752831155424
62,59,22,25,52.49761899362675
7,1,63,26,61.326992425847855
34,7,0,27,39.44616584663204
34,50,6,11,48.010415536631214
2,0,37,29,45.45327270945405
61,43,7,38,54.230987451824994
31,4,63,25,38.27531841800928
19,4,4,59,57.0087712549569
50,0,36,30,33.1058907144937
49,2,47,53,51.03920062069938
23,51,58,11,53.150729063673246
60,17,18,48,52.20153254455275
24,42,18,17,25.709920264364882
41,39,47,6,33.54101966249684
19,48,24,23,25.495097567963924
27,5,33,61,56.32051136131489
34,12,52,56,47.53945729601885
10,18,55,27,45.89117562233506
60,13,34,1,28.635642126552707
20,17,7,51,36.40054944640259
20,50,57,50,37.0
19,4,50,59,63.13477647065839
55,27,24,19,32.01562118716424
60,56,19,18,55.90169943749474
8,7,33,15,26.248809496813376
33,7,21,24,20.808652046684813
22,19,1,45,33.421549934136806
8,19,37,18,29.017236257093817
22,14,35,53,41.10960958218893
5,39,55,46,50.48762224545735
56,2,40,39,40.311288741492746
63,7,11,45,64.40496875241847
29,20,36,58,38.63935817272331
