istart,jstart,igoal,jgoal,euclid
25,55,4,0,58.872744118140105
40,8,53,43,37.33630940518894
1,6,23,40,40.496913462633174
26,10,53,0,28.792360097775937
10,6,53,5,43.01162633521314
59,37,1,8,64.8459713474939
0,11,58,3,58.54912467321779
54,34,14,32,40.049968789001575
58,59,35,40,29.832867780352597
9,54,19,13,42.20189569201838
29,44,63,15,44.68780594300866
33,43,18,62,24.20743687382041
21,29,47,58,38.948684188300895
62,7,27,60,63.51377803280167
35,0,0,48,59.405386961116584
22,32,41,21,21.95449840010015
23,0,27,31,31.25699921617557
19,34,42,35,23.021728866442675
56,63,46,41,24.166091947189145
16,19,57,42,47.01063709417264
36,57,3,13,55.0
44,10,15,58,56.08029957123981
5,11,35,37,39.698866482558415
28,58,39,8,51.19570294468082
16,20,51,16,35.22782990761707
20,29,8,53,26.832815729997478
0,62,62,2,86.27861844049197
2,52,55,3,72.18032973047436
26,53,46,47,20.8806130178211
19,23,20,57,34.0147027033899
34,10,46,52,43.68065933568311
56,45,10,54,46.87216658103186
1,61,25,51,26.0
8,24,57,39,51.24451190127583
39,25,29,45,22.360679774997898
58,47,11,54,47.51841748206689
53,2,34,25,29.832867780352597
4,30,25,9,29.698484809834994
25,52,4,10,46.95742752749558
3,51,28,29,33.301651610693426
7,26,10,61,35.12833614050059
59,37,17,25,43.68065933568311
19,58,44,25,41.400483088968905
63,4,25,25,43.41658669218482
57,49,24,60,34.785054261852174
53,57,32,55,21.095023109728988
20,25,56,41,39.395431207184416
39,57,36,20,37.12142238654117
48,13,14,63,60.4648658313239
23,23,54,31,32.01562118716424
