istart,jstart,igoal,jgoal,euclid
57,32,45,63,33.24154027718932
39,16,1,4,39.84971769034255
47,17,23,7,26.0
15,8,49,36,44.04543109109048
35,63,3,63,32.0
36,18,37,58,40.01249804748511
4,45,32,54,29.410882339705484
0,42,34,58,37.57658845611187
8,4,26,40,40.24922359499622
52,16,50,55,39.05124837953327
14,51,61,20,56.302753041036986
61,42,26,47,35.35533905932738
35,24,31,54,30.265491900843113
43,21,28,7,20.518284528683193
42,37,14,36,28.0178514522438
50,62,2,5,74.51845409024533
43,62,19,38,33.94112549695428
12,53,52,57,40.19950248448356
42,47,63,15,38.27531841800928
62,62,36,20,49.39635614091387
6,18,60,56,66.03029607687671
59,55,57,35,20.09975124224178
62,49,4,13,68.26419266350405
54,53,18,40,38.27531841800928
48,39,30,50,21.095023109728988
2,47,41,55,39.81205847478876
56,58,2,7,74.27651041883968
25,57,38,38,23.021728866442675
54,55,63,24,32.28002478313795
7,34,62,42,55.57877292636101
4,22,37,17,33.37663853655727
58,31,27,5,40.45985664828782
15,5,33,20,23.430749027719962
37,26,14,25,23.021728866442675
49,14,27,8,22.80350850198276
7,58,24,17,44.384682042344295
49,20,62,44,27.294688127912362
7,22,44,38,40.311288741492746
4,6,54,41,61.032778078668514
41,51,57,30,26.40075756488817
47,41,26,54,24.698178070456937
25,10,9,43,36.6742416417845
60,20,12,1,51.62363799656123
20,57,63,34,48.76474136094644
36,52,15,5,51.478150704935004
29,2,1,11,29.410882339705484
15,3,40,31,37.53664875824692
34,5,23,61,57.0701322935211
22,62,30,34,29.120439557122072
26,57,1,22,43.01162633521314
