istart,jstart,igoal,jgoal,euclid
0,26,47,21,47.265209192385896
26,61,24,31,30.066592756745816
46,44,62,26,24.08318915758459
52,42,27,36,25.709920264364882
10,33,45,27,35.510561809129406
44,3,61,23,26.248809496813376
34,15,27,59,44.553338819890925
17,16,48,3,33.61547262794322
38,23,39,2,21.02379604162864
34,46,20,25,25.238858928247925
22,20,53,23,31.144823004794873
59,4,11,13,48.83646178829912
47,22,20,55,42.638011210655684
34,57,55,38,28.319604517012593
40,14,63,9,23.53720459187964
47,62,0,30,56.859475903318
14,0,39,42,48.877397639399746
41,21,47,63,42.42640687119285
35,36,14,57,29.698484809834994
41,34,20,2,38.27531841800928
60,32,0,52,63.245553203367585
9,44,60,32,52.392747589718944
32,60,56,15,51.0
54,6,21,42,48.83646178829912
47,23,11,28,36.345563690772494
48,59,4,32,51.62363799656123
57,14,45,54,41.7612260356422
31,6,54,38,39.408120990476064
56,61,38,34,32.449961479175904
17,58,35,2,58.82176467941097
8,5,55,53,67.17886572427373
35,52,10,14,45.48626166217664
40,59,11,38,35.805027579936315
21,7,60,53,60.30754513325841
22,59,58,19,53.81449618829484
39,5,51,40,37.0
30,31,5,34,25.179356624028344
62,59,7,47,56.293871780150276
58,35,60,60,25.079872407968907
37,35,25,60,27.730849247724095
3,15,47,5,45.12205669071391
5,29,60,3,60.83584469702052
20,51,2,0,54.08326913195984
3,41,57,63,58.309518948453004
2,45,39,4,55.226805085936306
7,51,44,33,41.14608122288197
20,40,52,37,32.14031735997639
60,26,2,48,62.03224967708329
46,15,19,18,27.16615541441225
59,45,61,12,33.06055050963308
