istart,jstart,igoal,jgoal,euclid
42,34,61,13,28.319604517012593
63,8,17,46,59.665735560705194
19,3,0,35,37.21558813185679
10,47,21,16,32.89376840679705
19,24,46,9,30.886890422961002
50,49,4,56,46.52956049652737
63,29,15,9,52.0
42,2,8,23,39.96248240537617
16,24,53,53,47.01063709417264
35,38,0,62,42.43819034784589
52,14,12,43,49.4064773081425
25,26,44,1,31.400636936215164
63,51,4,37,60.63827174318213
37,63,54,19,47.16990566028302
12,4,0,41,38.897300677553446
63,4,19,27,49.64876634922564
1,60,53,16,68.11754546370561
24,63,22,12,51.03920062069938
8,9,51,27,46.61544808322666
17,8,19,51,43.04648650006177
5,1,56,20,54.42425929675111
16,61,17,41,20.024984394500787
63,39,50,15,27.294688127912362
41,29,0,60,51.40038910358559
62,45,8,29,56.32051136131489
37,59,11,34,36.069377593742864
24,56,41,29,31.906112267087632
25,54,8,14,43.46262762420146
55,21,0,16,55.226805085936306
40,62,16,16,51.884487084291386
44,22,55,53,32.89376840679705
48,46,50,18,28.071337695236398
42,62,3,51,40.52159917870962
57,38,22,27,36.68787265568828
18,36,40,39,22.20360331117452
3,56,49,47,46.87216658103186
60,23,4,25,56.0357029044876
30,0,36,22,22.80350850198276
44,62,6,37,45.48626166217664
17,5,37,35,36.05551275463989
8,10,13,36,26.476404589747453
38,15,10,43,39.59797974644666
58,1,42,52,53.45091205957107
59,13,38,59,50.566787519082126
53,23,6,1,51.894122981316485
20,14,48,16,28.071337695236398
18,1,37,33,37.21558813185679
36,63,46,25,39.293765408777
12,18,20,53,35.90264614203248
6,52,9,31,21.213203435596427
