istart,jstart,igoal,jgoal,euclid
5,36,49,20,46.8187996428785
23,53,61,47,38.47076812334269
21,3,32,32,31.016124838541646
1,29,60,51,62.96824596572466
14,20,35,30,23.259406699226016
52,61,58,4,57.3149195236284
44,32,2,33,42.01190307520001
42,55,62,45,22.360679774997898
7,22,57,47,55.90169943749474
5,30,55,44,51.92301994298868
40,33,50,11,24.166091947189145
41,22,17,27,24.515301344262525
2,9,54,62,74.24957912338628
11,29,43,3,41.23105625617661
21,15,56,49,48.79549159502341
31,17,8,2,27.459060435491963
53,0,13,20,44.721359549995796
39,25,28,49,26.40075756488817
34,32,9,0,40.607881008493905
41,30,8,54,40.80441152620633
46,58,8,20,53.74011537017761
32,55,52,30,32.01562118716424
43,48,55,17,33.24154027718932
38,9,19,54,48.84669896727925
46,46,13,50,33.24154027718932
24,51,52,33,33.28663395418648
18,22,39,51,35.805027579936315
11,22,33,11,24.596747752497688
9,61,8,8,53.009433122794285
60,5,31,3,29.068883707497267
6,53,27,55,21.095023109728988
57,57,17,63,40.44749683231337
16,49,48,9,51.22499389946279
21,50,43,4,50.99019513592785
21,49,61,32,43.46262762420146
46,15,24,5,24.166091947189145
58,1,62,62,61.1310068623117
37,46,1,52,36.49657518178932
60,3,28,62,67.11929677819934
3,35,60,62,63.071388124885914
60,46,30,25,36.61966684720111
29,37,1,39,28.071337695236398
17,61,51,15,57.201398584300364
49,29,11,6,44.41846462902562
22,25,52,62,47.634021455258214
21,20,32,37,20.248456731316587
57,46,16,20,48.54894437575342
2,33,42,59,47.70744176750625
17,63,58,59,41.19465984809196
12,25,47,62,50.93132631298737
