istart,jstart,igoal,jgoal,euclid
24,47,49,18,38.28837943815329
61,5,5,1,56.142675390472796
63,50,10,63,54.57105459856901
9,60,33,8,57.271284253105414
15,2,59,3,44.01136216933077
63,7,12,7,51.0
37,45,61,32,27.294688127912362
14,38,35,52,25.238858928247925
11,21,29,45,30.0
31,43,60,3,49.4064773081425
33,51,42,6,45.89117562233506
10,38,49,37,39.01281840626232
51,44,1,20,55.46169849544819
3,33,40,60,45.803929962395145
52,38,1,28,51.97114584074513
15,7,48,11,33.24154027718932
3,36,51,12,53.665631459994955
41,2,7,29,43.41658669218482
63,40,50,15,28.178005607210743
17,63,0,38,30.23243291566195
55,40,18,63,43.56604182158393
6,52,54,49,48.093658625644196
50,60,60,29,32.57299494980466
30,48,10,5,47.4236228055175
44,2,58,63,62.5859409132754
60,12,62,52,40.049968789001575
35,49,61,57,27.202941017470888
63,54,14,2,71.449282711585
17,33,33,7,30.528675044947494
15,61,27,9,53.36665625650534
3,25,37,12,36.40054944640259
5,4,46,38,53.2634959423431
54,53,17,51,37.05401462729781
0,63,30,59,30.265491900843113
29,14,0,54,49.4064773081425
39,4,8,23,36.359317925395686
13,9,3,58,50.00999900019995
50,28,12,8,42.941821107167776
23,19,58,25,35.510561809129406
44,28,52,7,22.47220505424423
11,19,53,18,42.01190307520001
5,40,63,47,58.42088667591412
7,52,11,10,42.190046219457976
2,28,29,58,40.36087214122113
7,3,60,36,62.433965115151864
53,21,61,42,22.47220505424423
61,50,5,40,56.88585061331157
5,8,62,6,57.0350769263968
13,41,37,20,31.89043743820395
27,0,6,60,63.56886030125127
