istart,jstart,igoal,jgoal,euclid
50,0,47,39,39.11521443121589
17,2,36,13,21.95449840010015
3,49,30,6,50.774009099144415
45,8,21,16,25.298221281347036
11,46,36,27,31.400636936215164
37,58,14,62,23.345235059857504
20,52,18,20,32.0624390837628
60,27,19,63,54.56189146281496
19,49,17,16,33.06055050963308
56,59,2,17,68.41052550594829
61,30,57,55,25.317977802344327
4,62,26,42,29.732137494637012
15,14,43,13,28.0178514522438
0,45,62,22,66.12866246946176
30,62,11,12,53.48831648126533
5,46,39,17,44.68780594300866
43,46,24,61,24.20743687382041
45,29,62,63,38.01315561749642
59,23,6,51,59.941638282582836
31,58,40,12,46.87216658103186
49,48,10,6,57.3149195236284
39,14,62,31,28.600699292150182
1,17,30,39,36.40054944640259
14,4,58,40,56.85068161420758
23,43,26,7,36.124783736376884
6,30,29,35,23.53720459187964
7,22,50,23,43.01162633521314
30,53,56,28,36.069377593742864
0,43,43,9,54.817880294662984
61,52,8,39,54.57105459856901
50,52,61,30,24.596747752497688
41,10,18,56,51.42956348249516
26,9,54,44,44.82186966202994
60,14,30,19,30.4138126514911
41,18,59,63,48.46648326421054
35,62,19,5,59.20304046246274
4,2,0,24,22.360679774997898
42,10,5,23,39.21734310225516
50,5,52,53,48.041648597857254
29,28,59,51,37.8021163428716
40,36,48,57,22.47220505424423
11,12,55,34,49.193495504995376
3,38,9,10,28.635642126552707
3,18,41,45,46.61544808322666
58,32,10,61,56.08029957123981
23,50,63,7,58.728187440104094
4,5,11,59,54.45181356024793
8,55,39,6,57.982756057296896
11,16,21,63,48.05205510693585
60,28,41,52,30.610455730027933
