istart,jstart,igoal,jgoal,euclid
51,12,14,12,37.0
16,47,58,48,42.01190307520001
61,8,49,50,43.68065933568311
62,34,7,10,60.00833275470999
36,34,48,2,34.17601498127012
58,21,28,16,30.4138126514911
49,54,1,48,48.373546489791295
44,61,5,0,72.40165743959182
3,16,25,44,35.608987629529715
0,16,38,42,46.04345773288535
7,25,48,47,46.52956049652737
62,53,29,55,33.06055050963308
12,61,26,38,26.92582403567252
29,42,8,2,45.17742799230607
63,24,60,0,24.186773244895647
11,11,54,48,56.72741841473134
61,54,1,20,68.96375859826666
31,48,0,4,53.823786563191554
61,49,36,10,46.32493928760188
19,60,57,17,57.38466694161429
4,56,41,21,50.93132631298737
13,41,37,60,30.610455730027933
35,46,40,0,46.2709412050371
16,18,7,39,22.847319317591726
19,45,43,53,25.298221281347036
46,61,21,10,56.79788728465171
9,10,37,20,29.732137494637012
22,13,0,18,22.561028345356956
36,47,54,56,20.12461179749811
50,18,24,53,43.60045871318328
9,4,4,26,22.561028345356956
7,13,24,52,42.5440947723653
50,3,55,43,40.311288741492746
61,39,56,13,26.476404589747453
8,49,28,48,20.024984394500787
52,49,37,29,25.0
33,24,43,61,38.3275357934736
2,8,12,44,37.36308338453881
54,13,34,8,20.615528128088304
48,22,62,53,34.0147027033899
2,38,1,16,22.02271554554524
7,48,63,58,56.88585061331157
59,56,28,1,63.13477647065839
31,0,13,46,49.39635614091387
37,6,40,38,32.14031735997639
49,59,27,25,40.496913462633174
50,24,5,54,54.08326913195984
0,4,55,25,58.872744118140105
44,17,8,63,58.412327466040935
0,48,36,28,41.182520563948
