istart,jstart,igoal,jgoal,euclid
46,2,52,23,21.840329667841555
0,58,49,33,55.00909015790027
13,19,6,59,40.607881008493905
58,49,17,38,42.44997055358225
1,7,17,54,49.64876634922564
34,48,15,55,20.248456731316587
51,6,7,4,44.04543109109048
8,28,38,31,30.14962686336267
52,57,6,2,71.7007670809734
62,55,9,20,63.51377803280167
39,25,3,63,52.3450093132096
17,13,60,44,53.009433122794285
30,26,53,0,34.713109915419565
20,42,58,36,38.47076812334269
42,1,4,7,38.47076812334269
36,56,6,17,49.20365840057018
3,50,29,25,36.069377593742864
25,33,1,15,30.0
11,21,4,45,25.0
8,31,45,55,44.10215414239989
29,1,38,63,62.64982043070834
63,49,14,45,49.16299421312742
47,49,19,24,37.53664875824692
16,23,37,1,30.4138126514911
15,53,40,55,25.079872407968907
36,63,57,63,21.0
61,21,58,57,36.124783736376884
30,62,51,38,31.89043743820395
37,52,58,49,21.213203435596427
48,55,18,63,31.04834939252005
49,21,11,49,47.20169488482379
2,22,5,2,20.223748416156685
55,32,31,22,26.0
20,46,4,8,41.23105625617661
20,63,57,60,37.12142238654117
32,15,63,3,33.24154027718932
15,1,57,1,42.0
48,25,23,43,30.805843601498726
10,31,48,59,47.20169488482379
0,45,39,14,49.8196748283246
38,38,63,56,30.805843601498726
28,36,1,30,27.65863337187866
59,18,40,28,21.470910553583888
2,48,52,6,65.29931086925804
46,13,38,56,43.73785545725808
38,27,36,56,29.068883707497267
31,13,27,44,31.25699921617557
61,55,31,27,41.036569057366385
22,13,29,61,48.507731342539614
19,55,45,47,27.202941017470888
