istart,jstart,igoal,jgoal,euclid
8,17,29,37,29.0
25,19,0,19,25.0
34,31,27,8,24.041630560342615
61,38,26,2,50.20956084253277
21,19,19,42,23.08679276123039
20,55,55,9,57.8013840664737
28,60,62,45,37.16180835212409
52,3,19,55,61.587336360651285
34,6,54,12,20.8806130178211
34,1,19,31,33.54101966249684
6,2,45,41,55.154328932550705
36,40,56,1,43.829214001622255
40,46,36,21,25.317977802344327
37,57,2,8,60.21627686929839
14,60,32,5,57.87054518492115
30,21,0,2,35.510561809129406
19,4,28,42,39.05124837953327
8,48,49,63,43.657759905886145
5,15,37,47,45.254833995939045
3,45,22,31,23.600847442411894
3,51,32,0,58.66856057549052
12,29,35,50,31.144823004794873
53,60,35,47,22.20360331117452
35,58,34,8,50.00999900019995
42,40,25,12,32.7566787083184
52,6,9,36,52.43090691567332
22,11,61,9,39.05124837953327
52,15,3,6,49.8196748283246
14,36,2,5,33.24154027718932
57,26,51,53,27.65863337187866
16,51,39,62,25.495097567963924
63,63,8,58,55.226805085936306
6,35,43,52,40.718546143004666
5,32,35,53,36.61966684720111
53,50,17,22,45.60701700396552
7,13,58,7,51.35172830587107
15,39,44,35,29.274562336608895
61,29,38,43,26.92582403567252
45,20,15,16,30.265491900843113
53,58,21,23,47.4236228055175
41,29,46,61,32.38826948140329
42,47,50,25,23.40939982143925
35,18,49,3,20.518284528683193
61,55,6,33,59.23681287847955
55,7,41,35,31.304951684997057
53,59,44,29,31.32091952673165
10,2,52,47,61.554853586049575
55,39,43,13,28.635642126552707
42,15,59,32,24.041630560342615
5,26,55,36,50.99019513592785
