istart,jstart,igoal,jgoal,euclid
60,52,42,29,29.206163733020468
55,46,16,1,59.54829972383762
33,7,39,28,21.840329667841555
39,14,51,36,25.059928172283335
39,29,13,49,32.802438933713454
36,48,59,48,23.0
21,60,52,9,59.682493245507096
54,3,12,40,55.97320787662612
40,18,42,60,42.04759208325728
24,57,4,41,25.612496949731394
38,23,54,1,27.202941017470888
18,13,31,36,26.419689627245813
55,15,10,61,64.35060217278468
63,14,18,8,45.39823785126467
37,57,28,30,28.460498941515414
2,33,59,31,57.0350769263968
41,54,55,14,42.37924020083418
49,55,34,8,49.33558553417604
54,33,35,4,34.66987164671943
26,54,58,55,32.01562118716424
17,10,30,43,35.4682957019364
58,49,37,2,51.478150704935004
23,35,6,53,24.758836806279895
24,48,1,1,52.32590180780452
34,15,32,56,41.048751503547585
53,3,12,4,41.012193308819754
11,59,3,25,34.92849839314596
11,54,59,60,48.373546489791295
49,54,9,58,40.19950248448356
29,61,25,36,25.317977802344327
9,34,16,0,34.713109915419565
10,48,52,16,52.80151512977634
50,3,1,60,75.16648189186454
45,7,1,4,44.10215414239989
35,54,22,8,47.80167361086848
11,34,37,40,26.68332812825267
52,41,1,42,51.0098029794274
46,6,9,23,40.718546143004666
29,0,63,4,34.23448553724738
44,19,24,18,20.024984394500787
24,46,24,13,33.0
43,50,19,10,46.647615158762406
22,37,38,18,24.839484696748443
26,19,3,60,47.01063709417264
39,43,3,56,38.27531841800928
28,20,56,33,30.870698080866262
9,51,4,4,47.265209192385896
51,9,20,33,39.20459156782532
39,37,11,3,44.04543109109048
14,14,40,29,30.01666203960727
