istart,jstart,igoal,jgoal,euclid
2,31,4,8,23.08679276123039
8,49,52,31,47.53945729601885
10,16,41,41,39.824615503479755
60,4,25,19,38.07886552931954
57,13,37,51,42.941821107167776
2,28,54,15,53.600373133029585
56,48,54,26,22.090722034374522
19,28,30,5,25.495097567963924
44,59,5,5,66.61080993352356
2,11,40,15,38.2099463490856
1,57,2,1,56.00892785976178
10,36,34,43,25.0
45,42,15,36,30.59411708155671
53,17,11,52,54.67174773134658
49,43,29,41,20.09975124224178
19,30,62,47,46.238512086787566
42,8,41,37,29.017236257093817
47,35,2,17,48.46648326421054
9,59,54,46,46.84015371452148
50,43,0,14,57.8013840664737
3,28,32,61,43.93176527297759
6,8,9,53,45.09988913511872
50,34,57,12,23.08679276123039
19,5,3,45,43.08131845707603
19,60,30,7,54.12947441089743
45,48,13,21,41.86884283091664
20,28,63,32,43.18564576337837
13,55,12,26,29.017236257093817
30,31,58,22,29.410882339705484
32,50,50,9,44.77722635447622
44,6,51,57,51.478150704935004
55,9,47,33,25.298221281347036
58,24,9,20,49.16299421312742
27,44,52,51,25.96150997149434
50,24,5,5,48.84669896727925
51,36,8,11,49.73932046178355
52,53,3,29,54.56189146281496
39,28,7,11,36.235341863986875
49,10,19,19,31.32091952673165
61,31,17,14,47.16990566028302
53,23,28,58,43.01162633521314
50,36,7,23,44.9221548904324
58,6,48,39,34.48187929913333
1,38,20,8,35.510561809129406
41,38,7,15,41.048751503547585
5,31,54,60,56.938563381947034
20,19,33,0,23.021728866442675
41,42,5,19,42.720018726587654
20,4,45,35,39.824615503479755
38,1,18,0,20.024984394500787
