istart,jstart,igoal,jgoal,euclid
58,32,34,33,24.020824298928627
43,25,21,32,23.08679276123039
27,34,49,21,25.553864678361276
6,10,46,40,50.0
0,53,44,43,45.12205669071391
59,33,33,57,35.38361202590826
0,16,29,50,44.68780594300866
57,27,14,27,43.0
61,26,4,58,65.36818798161687
62,9,38,62,58.180752831155424
1,51,5,8,43.18564576337837
63,48,24,41,39.6232255123179
6,25,56,16,50.80354318352215
26,27,38,4,25.942243542145693
60,27,38,58,38.01315561749642
44,52,21,9,48.76474136094644
45,48,19,63,30.01666203960727
1,61,13,35,28.635642126552707
21,46,43,35,24.596747752497688
44,7,18,20,29.068883707497267
60,31,26,32,34.0147027033899
39,55,35,7,48.16637831516918
38,56,61,27,37.013511046643494
53,21,16,34,39.21734310225516
1,15,47,37,50.99019513592785
62,16,14,26,49.03060268852505
32,2,0,60,66.24198064671678
61,61,4,3,81.32035415564789
14,12,45,42,43.139309220245984
49,63,29,22,45.617978911828175
46,44,6,1,58.728187440104094
52,10,29,14,23.345235059857504
29,58,1,62,28.284271247461902
34,36,14,60,31.240998703626616
50,22,1,20,49.040799340956916
28,39,58,8,43.139309220245984
10,11,59,19,49.64876634922564
0,5,47,1,47.16990566028302
37,63,63,3,65.39113089708727
35,50,48,13,39.21734310225516
43,2,46,34,32.14031735997639
25,13,15,33,22.360679774997898
49,57,47,24,33.06055050963308
2,15,41,42,47.43416490252569
38,54,4,8,57.201398584300364
46,22,30,53,34.88552708502482
42,15,8,63,58.82176467941097
27,24,21,56,32.55764119219941
35,33,55,28,20.615528128088304
62,30,6,24,56.32051136131489
