istart,jstart,igoal,jgoal,euclid
49,2,22,17,30.886890422961002
45,63,30,40,27.459060435491963
2,18,44,22,42.190046219457976
38,53,8,29,38.41874542459709
33,50,50,9,44.384682042344295
58,22,47,48,28.231188426986208
11,22,47,6,39.395431207184416
49,7,18,51,53.823786563191554
38,18,44,59,41.43669871020132
53,17,37,1,22.627416997969522
62,22,39,41,29.832867780352597
35,23,55,10,23.853720883753127
22,15,51,36,35.805027579936315
54,21,25,5,33.12099032335839
33,19,42,55,37.107950630558946
26,3,50,37,41.617304093369626
0,1,14,56,56.753854494650845
24,56,2,17,44.77722635447622
34,43,42,23,21.540659228538015
27,16,5,18,22.090722034374522
59,61,6,18,68.24954212300622
21,61,12,2,59.682493245507096
43,5,16,59,60.37383539249432
54,59,56,5,54.037024344425184
15,55,51,63,36.87817782917155
12,31,16,56,25.317977802344327
58,14,15,44,52.43090691567332
47,27,59,62,37.0
20,4,56,56,63.245553203367585
45,49,17,31,33.28663395418648
42,14,5,45,48.27007354458868
21,12,55,59,58.008620049092706
61,2,55,57,55.326304774492215
32,37,59,33,27.294688127912362
47,36,63,50,21.2602916254693
45,45,43,19,26.076809620810597
24,26,6,48,28.42534080710379
62,36,39,14,31.827660925679098
10,59,38,1,64.40496875241847
11,42,49,38,38.2099463490856
7,20,46,0,43.829214001622255
52,63,37,8,57.0087712549569
33,58,21,40,21.633307652783937
61,25,11,29,50.15974481593781
33,5,52,43,42.485291572496
2,41,33,62,37.44329045369811
9,46,10,11,35.014282800023196
45,14,37,54,40.792156108742276
25,10,41,32,27.202941017470888
8,39,45,40,37.013511046643494
